"Embassy","Year","Month","Full MRN of last cable of that month","Day of last cable","MRN number","Days into the year","Per day that year","Actual number of cables that month","Trafficking cables this year"
"Accra",2004,7,"04ACCRA1581",30,1581,211,7.492890995,17,
"Accra",2004,8,"04ACCRA1760",30,1760,242,7.272727273,13,
"Accra",2004,9,"04ACCRA1934",27,1934,270,7.162962963,9,
"Accra",2004,10,"04ACCRA2141",29,2141,302,7.089403974,14,
"Accra",2004,11,"04ACCRA2340",30,2340,334,7.005988024,24,
"Accra",2004,12,"04ACCRA2551",23,2551,357,7.145658263,23,
"Accra",2005,1,"05ACCRA190",27,190,27,7.037037037,7,30
"Accra",2005,2,"05ACCRA433",28,433,59,7.338983051,18,
"Accra",2005,3,"05ACCRA634",31,634,90,7.044444444,15,
"Accra",2005,4,"05ACCRA809",29,809,119,6.798319328,17,
"Accra",2005,5,"05ACCRA1051",27,1051,147,7.149659864,9,
"Accra",2005,6,"05ACCRA1282",30,1282,181,7.082872928,9,
"Accra",2005,7,"05ACCRA1506",29,1506,210,7.171428571,14,
"Accra",2005,8,"05ACCRA1679",22,1679,234,7.175213675,8,
"Accra",2005,9,"05ACCRA1969",27,1969,270,7.292592593,7,
"Accra",2005,10,"05ACCRA2205",27,2205,300,7.35,5,
"Accra",2005,11,"05ACCRA2435",29,2435,333,7.312312312,16,
"Accra",2005,12,"05ACCRA2619",30,2619,364,7.195054945,13,
"Accra",2006,1,"06ACCRA256",31,256,31,8.258064516,11,14
"Accra",2006,2,"06ACCRA486",27,486,58,8.379310345,14,
"Accra",2006,3,"06ACCRA681",23,681,82,8.304878049,9,
"Accra",2006,4,"06ACCRA839",11,839,101,8.306930693,7,
"Accra",2006,5,"06ACCRA1236",31,1236,151,8.185430464,6,
"Accra",2006,6,"06ACCRA1409",20,1409,171,8.239766082,5,
"Accra",2006,7,"06ACCRA1688",24,1688,205,8.234146341,2,
"Accra",2006,8,"06ACCRA2012",30,2012,242,8.314049587,8,
"Accra",2006,9,"06ACCRA2270",26,2270,269,8.43866171,6,
"Accra",2006,10,"06ACCRA2624",31,2624,304,8.631578947,4,
"Accra",2006,11,"06ACCRA2876",30,2876,334,8.610778443,10,
"Accra",2006,12,"06ACCRA3064",29,3064,363,8.44077135,9,
"Accra",2007,1,"07ACCRA155",23,155,23,6.739130435,4,9
"Accra",2007,2,"07ACCRA474",28,474,59,8.033898305,11,
"Accra",2007,3,"07ACCRA709",29,709,88,8.056818182,16,
"Accra",2007,4,"07ACCRA872",23,872,113,7.716814159,6,
"Accra",2007,5,"07ACCRA1205",30,1205,150,8.033333333,14,
"Accra",2007,6,"07ACCRA1440",28,1440,179,8.044692737,10,
"Accra",2007,7,"07ACCRA1606",31,1606,212,7.575471698,11,
"Accra",2007,8,"07ACCRA1822",30,1822,242,7.52892562,11,
"Accra",2007,9,"07ACCRA2035",27,2035,270,7.537037037,15,
"Accra",2007,10,"07ACCRA2293",29,2293,302,7.592715232,19,
"Accra",2007,11,"07ACCRA2451",29,2451,333,7.36036036,18,
"Accra",2007,12,"07ACCRA2604",29,2604,363,7.173553719,17,
"Accra",2008,1,"08ACCRA154",29,154,29,5.310344828,14,17
"Accra",2008,2,"08ACCRA293",29,293,60,4.883333333,14,
"Accra",2008,3,"08ACCRA422",31,422,90,4.688888889,20,
"Accra",2008,4,"08ACCRA561",29,561,119,4.714285714,21,
"Accra",2008,5,"08ACCRA690",28,690,148,4.662162162,15,
"Accra",2008,6,"08ACCRA798",23,798,174,4.586206897,8,
"Accra",2008,7,"08ACCRA945",22,945,203,4.655172414,5,
"Accra",2008,8,"08ACCRA1103",26,1103,238,4.634453782,9,
"Accra",2008,9,"08ACCRA1242",25,1242,268,4.634328358,7,
"Accra",2008,10,"08ACCRA1404",30,1404,303,4.633663366,12,
"Accra",2008,11,"08ACCRA1510",28,1510,332,4.548192771,18,
"Accra",2008,12,"08ACCRA1624",31,1624,365,4.449315068,26,
"Accra",2009,1,"09ACCRA70",30,70,30,2.333333333,22,16
"Accra",2009,2,"09ACCRA155",25,155,56,2.767857143,5,
"Accra",2009,3,"09ACCRA279",31,279,90,3.1,4,
"Accra",2009,4,"09ACCRA356",17,356,107,3.327102804,10,
"Accra",2009,5,"09ACCRA479",21,479,141,3.397163121,6,
"Accra",2009,6,"09ACCRA619",29,619,180,3.438888889,16,
"Accra",2009,7,"09ACCRA712",28,712,209,3.406698565,7,
"Accra",2009,8,"09ACCRA860",27,860,239,3.59832636,8,
"Accra",2009,9,"09ACCRA1021",28,1021,271,3.767527675,11,
"Accra",2009,10,"09ACCRA1139",28,1139,301,3.784053156,18,
"Accra",2009,11,"09ACCRA1262",30,1262,334,3.778443114,12,
"Accra",2009,12,"09ACCRA1341",21,1341,355,3.777464789,16,
"Accra",2010,1,"10ACCRA84",28,84,28,3,10,3
"Accra",2010,2,"10ACCRA164",26,164,57,2.877192982,16,
"Adana",1988,10,"88ADANA638",25,638,298,2.140939597,1,0
"Adana",1993,9,"93ADANA470",10,470,253,1.85770751,1,0
"Adana",1994,5,"94ADANA290",27,290,147,1.972789116,1,0
"Adana",1994,9,"94ADANA532",16,532,259,2.054054054,1,
"Adana",2002,12,"02ADANA439",31,439,365,1.202739726,91,0
"Adana",2003,8,"03ADANA228",30,228,242,0.94214876,93,7
"Adana",2003,12,"03ADANA293",31,293,365,0.802739726,90,
"Adana",2004,1,"04ADANA18",30,18,30,0.6,96,2
"Adana",2004,4,"04ADANA53",30,53,120,0.441666667,105,
"Adana",2006,3,"06ADANA67",31,67,90,0.744444444,135,7
"Adana",2006,4,"06ADANA96",28,96,118,0.813559322,115,
"Adana",2007,4,"07ADANA63",30,63,120,0.525,111,5
"Adana",2010,1,"10ADANA7",30,7,30,0.233333333,98,3
"Addisababa",1988,3,"88ADDISABABA1180",15,1180,74,15.94594595,1,0
"Addisababa",1990,11,"90ADDISABABA5620",16,5620,320,17.5625,1,0
"Addisababa",1996,3,"96ADDISABABA1545",5,1545,64,24.140625,1,0
"Addisababa",1997,1,"97ADDISABABA531",23,531,23,23.08695652,1,0
"Addisababa",1997,4,"97ADDISABABA2584",1,2584,91,28.3956044,1,
"Addisababa",1997,11,"97ADDISABABA8889",15,8889,319,27.86520376,1,
"Addisababa",1998,8,"98ADDISABABA6302",10,6302,222,28.38738739,1,0
"Addisababa",1999,11,"99ADDISABABA6849",15,6849,319,21.47021944,1,0
"Addisababa",2002,7,"02ADDISABABA2418",12,2418,193,12.52849741,1,0
"Addisababa",2002,11,"02ADDISABABA3801",24,3801,328,11.58841463,1,
"Addisababa",2003,12,"03ADDISABABA4636",30,4636,364,12.73626374,1,0
"Addisababa",2005,9,"05ADDISABABA3444",29,3444,272,12.66176471,7,0
"Addisababa",2005,10,"05ADDISABABA3725",28,3725,301,12.37541528,6,
"Addisababa",2005,11,"05ADDISABABA3984",30,3984,334,11.92814371,25,
"Addisababa",2005,12,"05ADDISABABA4234",29,4234,363,11.66391185,23,
"Addisababa",2006,1,"06ADDISABABA217",25,217,25,8.68,15,4
"Addisababa",2006,2,"06ADDISABABA536",23,536,54,9.925925926,6,
"Addisababa",2006,3,"06ADDISABABA839",28,839,87,9.643678161,12,
"Addisababa",2006,4,"06ADDISABABA1188",28,1188,118,10.06779661,18,
"Addisababa",2006,5,"06ADDISABABA1499",30,1499,150,9.993333333,16,
"Addisababa",2006,6,"06ADDISABABA1788",30,1788,181,9.878453039,39,
"Addisababa",2006,7,"06ADDISABABA2093",31,2093,212,9.872641509,21,
"Addisababa",2006,8,"06ADDISABABA2391",31,2391,243,9.839506173,29,
"Addisababa",2006,9,"06ADDISABABA2629",28,2629,271,9.701107011,21,
"Addisababa",2006,10,"06ADDISABABA2901",31,2901,304,9.542763158,22,
"Addisababa",2006,11,"06ADDISABABA3130",29,3130,333,9.399399399,17,
"Addisababa",2006,12,"06ADDISABABA3419",29,3419,363,9.418732782,25,
"Addisababa",2007,1,"07ADDISABABA302",31,302,31,9.741935484,34,8
"Addisababa",2007,2,"07ADDISABABA557",26,557,57,9.771929825,26,
"Addisababa",2007,3,"07ADDISABABA962",30,962,89,10.80898876,34,
"Addisababa",2007,4,"07ADDISABABA1311",30,1311,120,10.925,41,
"Addisababa",2007,5,"07ADDISABABA1652",30,1652,150,11.01333333,32,
"Addisababa",2007,6,"07ADDISABABA2049",28,2049,179,11.44692737,21,
"Addisababa",2007,7,"07ADDISABABA2393",30,2393,211,11.34123223,29,
"Addisababa",2007,8,"07ADDISABABA2697",31,2697,243,11.09876543,26,
"Addisababa",2007,9,"07ADDISABABA2899",24,2899,267,10.8576779,21,
"Addisababa",2007,10,"07ADDISABABA3200",30,3200,303,10.56105611,32,
"Addisababa",2007,11,"07ADDISABABA3430",30,3430,334,10.26946108,24,
"Addisababa",2007,12,"07ADDISABABA3644",31,3644,365,9.983561644,25,
"Addisababa",2008,1,"08ADDISABABA240",31,240,31,7.741935484,46,3
"Addisababa",2008,2,"08ADDISABABA527",28,527,59,8.93220339,34,
"Addisababa",2008,3,"08ADDISABABA855",31,855,90,9.5,26,
"Addisababa",2008,4,"08ADDISABABA1198",30,1198,120,9.983333333,27,
"Addisababa",2008,5,"08ADDISABABA1439",23,1439,143,10.06293706,22,
"Addisababa",2008,6,"08ADDISABABA1755",27,1755,178,9.859550562,20,
"Addisababa",2008,7,"08ADDISABABA2105",31,2105,212,9.929245283,19,
"Addisababa",2008,8,"08ADDISABABA2338",27,2338,239,9.782426778,25,
"Addisababa",2008,9,"08ADDISABABA2694",30,2694,273,9.868131868,20,
"Addisababa",2008,10,"08ADDISABABA3000",31,3000,304,9.868421053,19,
"Addisababa",2008,11,"08ADDISABABA3242",28,3242,332,9.765060241,24,
"Addisababa",2008,12,"08ADDISABABA3476",31,3476,365,9.523287671,34,
"Addisababa",2009,1,"09ADDISABABA239",29,239,29,8.24137931,27,11
"Addisababa",2009,2,"09ADDISABABA495",27,495,58,8.534482759,44,
"Addisababa",2009,3,"09ADDISABABA738",30,738,89,8.292134831,28,
"Addisababa",2009,4,"09ADDISABABA1015",30,1015,120,8.458333333,23,
"Addisababa",2009,5,"09ADDISABABA1242",27,1242,147,8.448979592,16,
"Addisababa",2009,6,"09ADDISABABA1526",30,1526,181,8.430939227,22,
"Addisababa",2009,7,"09ADDISABABA1824",30,1824,211,8.644549763,26,
"Addisababa",2009,8,"09ADDISABABA2096",31,2096,243,8.625514403,29,
"Addisababa",2009,9,"09ADDISABABA2342",30,2342,273,8.578754579,31,
"Addisababa",2009,10,"09ADDISABABA2556",29,2556,302,8.463576159,22,
"Addisababa",2009,11,"09ADDISABABA2817",30,2817,334,8.434131737,30,
"Addisababa",2009,12,"09ADDISABABA3068",31,3068,365,8.405479452,44,
"Addisababa",2010,1,"10ADDISABABA135",27,135,27,5,17,3
"Addisababa",2010,2,"10ADDISABABA396",26,396,57,6.947368421,62,
"Aittaipei",2006,2,"06AITTAIPEI600",28,600,59,10.16949153,29,1
"Aittaipei",2006,8,"06AITTAIPEI3016",31,3016,243,12.41152263,78,
"Aittaipei",2006,10,"06AITTAIPEI3709",31,3709,304,12.20065789,67,
"Aittaipei",2006,12,"06AITTAIPEI4216",29,4216,363,11.61432507,68,
"Aittaipei",2007,1,"07AITTAIPEI247",31,247,31,7.967741935,73,3
"Aittaipei",2007,2,"07AITTAIPEI448",27,448,58,7.724137931,48,
"Aittaipei",2007,4,"07AITTAIPEI954",30,954,120,7.95,46,
"Aittaipei",2007,12,"07AITTAIPEI2663",31,2663,365,7.295890411,36,
"Aittaipei",2008,6,"08AITTAIPEI943",30,943,181,5.209944751,39,2
"Aittaipei",2008,8,"08AITTAIPEI1296",29,1296,241,5.377593361,30,
"Aittaipei",2008,9,"08AITTAIPEI1424",30,1424,273,5.216117216,30,
"Aittaipei",2008,11,"08AITTAIPEI1667",28,1667,332,5.021084337,43,
"Aittaipei",2009,1,"09AITTAIPEI103",22,103,22,4.681818182,32,3
"Aittaipei",2009,3,"09AITTAIPEI372",31,372,90,4.133333333,53,
"Aittaipei",2009,5,"09AITTAIPEI631",27,631,147,4.292517007,39,
"Aittaipei",2009,6,"09AITTAIPEI795",30,795,181,4.392265193,58,
"Aittaipei",2009,8,"09AITTAIPEI1051",31,1051,243,4.325102881,41,
"Aittaipei",2009,10,"09AITTAIPEI1276",30,1276,303,4.211221122,41,
"Aittaipei",2010,1,"10AITTAIPEI116",29,116,29,4,31,1
"Alexandria",1985,6,"85ALEXANDRIA535",30,535,181,2.955801105,2,0
"Alexandria",1985,7,"85ALEXANDRIA548",2,548,183,2.994535519,2,
"Alexandria",1985,9,"85ALEXANDRIA817",3,817,246,3.321138211,1,
"Alexandria",1986,7,"86ALEXANDRIA806",25,806,206,3.912621359,1,0
"Alexandria",1986,9,"86ALEXANDRIA1048",20,1048,263,3.984790875,2,
"Alexandria",1987,2,"87ALEXANDRIA292",25,292,56,5.214285714,3,0
"Alexandria",1990,4,"90ALEXANDRIA448",15,448,105,4.266666667,1,0
"Alexandria",1992,10,"92ALEXANDRIA751",29,751,302,2.486754967,2,0
"Alexandria",1993,1,"93ALEXANDRIA24",13,24,13,1.846153846,1,0
"Alexandria",1993,3,"93ALEXANDRIA190",18,190,77,2.467532468,1,
"Alexandria",1993,5,"93ALEXANDRIA373",17,373,137,2.722627737,1,
"Algiers",1986,10,"86ALGIERS5347",21,5347,294,18.18707483,1,0
"Algiers",1987,4,"87ALGIERS2184",11,2184,101,21.62376238,1,0
"Algiers",1988,3,"88ALGIERS1498",14,1498,73,20.52054795,2,0
"Algiers",1996,11,"96ALGIERS3262",20,3262,324,10.06790123,1,0
"Algiers",1997,2,"97ALGIERS734",25,734,56,13.10714286,1,0
"Algiers",1997,3,"97ALGIERS952",12,952,71,13.4084507,1,
"Algiers",2002,9,"02ALGIERS2423",21,2423,264,9.178030303,1,0
"Algiers",2005,4,"05ALGIERS839",26,839,116,7.232758621,2,0
"Algiers",2005,5,"05ALGIERS1050",25,1050,145,7.24137931,11,
